,Type,Name,Qty,MRP,Price
139,dal,Family Farm Urad Dal (Chilka),1 kg,140,129
140,dal,Family Farm Urad Dal (Dhuli),1 kg,180,128
141,dal,Tata Sampann Tadka Dal Masala,100 g,70,69
142,dal,Family Farm Kabuli Chana,1 kg,120,96
143,dal,Family Farm Kala Chana/Brown Chana,1 kg,120,79
144,dal,Grofers Mother's Choice Kala Chana/Brown Chana,500g,70,45
145,dal,Grofers Mother's Choice Kabuli Chana,500 g,95,56
146,dal,Grofers Mother's Choice White Lobiya,500 g,70,66
147,dal,Haldiram's Moong Dal Namkeen,200 g,51,51
148,dal,Grofers Happy Day Moong Dal Namkeen,200 g,49,47
149,dal,Tata Sampann Kala Chana,1 kg,125,99
150,dal,Tata Sampann Kabuli Chana,1 kg,150,133
151,dal,Grofers Mother's Choice Red Lobiya,500 g,70,69
152,dal,Grofers Mother's Choice Everyday/Rozana Basmati Rice + Sharbati Atta + Unpolished Arhar Dal/Toor Dal Combo,5kg + 5kg + 1kg,915,599
153,dal,Grofers Happy Day Crunchy Peanut Butter,340 g,159,128
154,dal,Grofers Happy Day Moong Dal Namkeen - Pack of 2,2x35 g,20,16
155,dal,Fun Foods Creamy Peanut Butter,925 g,275,275
156,dal,Grofers Mother's Choice Green Chana,500 g,120,56
157,dal,Nestle Cerelac Multigrain Dal Veg Baby Cereal (12 months+),300 g,257,257
158,dal,Chokhi Dhani Moong Dal Halwa Ready to Eat,250 g,125,125
159,dal,Chokhi Dhani Dal Makhani Ready to Eat,300 g,95,95
160,dal,Daawat Rozana Super Basmati Rice + Aashirvaad Select Sharbati Whole Wheat Atta + Tata Sampann Unpolished Arhar Dal/Toor Dal Combo,5kg + 5kg + 1kg,879,759
161,dal,India Gate Broken Mogra Basmati Rice + Aashirvaad Select Sharbati Whole Wheat Atta + Tata Sampann Unpolished Arhar Dal/Toor Dal Combo,5kg + 5kg + 1kg,824,739
162,biscuit,Oreo Original Vanilla Creme Biscuit,120 g,30,30
163,biscuit,Oreo Original Vanilla Creme Biscuit - Pack of 3,3x120 g,90,90
164,biscuit,Parle-G Gold Biscuit,1 kg,115,92
165,biscuit,Parle-G Original Gluco Biscuit,800 g,70,70
166,biscuit,Parle Monaco Light Salty Classic Regular Biscuit - Pack of 2,2x150 g,60,60
167,biscuit,Sunfeast Bounce Tangy Orange Biscuit - Pack of 3,3x82 g,30,27
168,biscuit,McVitie's Digestive Biscuit - Buy 4 Get 1 Free - Brand Offer,5x100 g,80,80
169,biscuit,Britannia Little Hearts Classic Biscuit - Pack of 2,2x37 g,20,20
170,biscuit,Parle Krackjack Sweet & Salty Crackers Biscuit - Pack of 2,2x200 g,60,60
171,biscuit,Britannia Little Hearts Classic Biscuit - Pack of 4,4x37 g,40,40
172,biscuit,Parle Krackjack Sweet & Salty Crackers Biscuit - Pack of 5,5x200 g,150,150
173,biscuit,Britannia Bourbon The Original Biscuit - Buy 4 Get 1 Free - Brand Offer,5x120 g,80,80
174,biscuit,Britannia NutriChoice Digestive Hi Fibre Biscuit - Pack of 5,5x100 g,100,100
175,biscuit,Britannia NutriChoice Digestive Hi Fibre Biscuit - Pack of 2,2x250 g,110,110
176,biscuit,McVitie's Digestive Biscuit,1 kg,159,159
177,biscuit,Parle Krackjack Sweet & Salty Crackers Biscuit,400 g,60,54
178,biscuit,Oreo Choco Creme Biscuit,120 g,30,30
179,biscuit,Sunfeast Farmlite 5 Grain Digestive Biscuit,1 kg,180,160
180,biscuit,Sunfeast Bounce Tasty Choco Creme Biscuit - Pack of 3,3x84 g,30,27
181,biscuit,Sunfeast Bourbon Bliss Biscuit - Pack of 3,3x120 gm,60,48
182,biscuit,Sunfeast Nice Biscuit - Pack of 2,2x150 g,50,45
183,biscuit,Sunfeast Farmlite Digestive All Good Biscuit - Pack of 2,2x100 g,50,50
184,biscuit,Oreo Choco Creme Biscuit - Pack of 8,8x120 g,240,240
185,biscuit,Britannia Little Hearts Classic Biscuit - Pack of 10,10x37 g,100,100
186,biscuit,Oreo Original Vanilla Creme Biscuit - Pack of 8,8x120 g,240,240
187,biscuit,Parle BakeSmith The English Marie Light & Crispy Biscuit - Pack of 2,2x250 g,60,54
188,biscuit,Britannia NutriChoice Digestive Hi Fibre Biscuit - Pack of 10,10x100 g,200,200
189,biscuit,Parle Krackjack Sweet & Salty Crackers Biscuit - Pack of 4,4x75 gm,40,40
190,biscuit,Britannia Marie Gold Biscuit - Pack of 2,2x68 g,20,20
191,biscuit,Britannia Milk Bikis Milk Cream Biscuit - Pack of 2,2x200 g,80,80
192,biscuit,Britannia NutriChoice Hi Fibre Digestive Biscuit,250 g,55,55
193,biscuit,Oreo Choco Creme Biscuit - Pack of 3,3x120 g,90,90
194,biscuit,Britannia Nice Time Coconut Biscuit - Pack of 2,2x150 g,50,50
195,biscuit,McVitie's Digestive Biscuit - Pack of 2,2x100 g,40,40
196,biscuit,Britannia Treat Jim Jam Biscuit - Pack of 2,2x150 g,70,70
197,biscuit,Sunfeast Dark Fantasy Choco Fills Cookie,300 g,120,99
198,biscuit,Sunfeast Dark Fantasy Choco Fills Cookie - Pack of 2,2x75 g,60,53
199,biscuit,Britannia Good Day Cashew Cookie,600 g,105,100
200,biscuit,Britannia Good Day Butter Cookie - Pack of 10,10x63 g,100,100
201,biscuit,Britannia Good Day Butter Cookie - Pack of 4,4x63 g,40,40
202,biscuit,Cadbury Chocobakes Cookie,150 g,60,60
203,biscuit,Grofers Happy Day Crunchy Fruit & Nut Muesli (Carton),500 g,300,274
204,biscuit,Sunfeast Farmlite Oats with Chocolate Cookie - Pack of 2,2x150 g,100,85
205,biscuit,Grofers Happy Day Choco Chip Cookie - Buy 2 Get 1 Free,3x75 g,90,60
206,biscuit,Britannia Pure Magic Chocolush Cookie - Pack of 2,2x75 g,60,60
207,biscuit,HaveMore Tooty Fruity Bakery Cookies,200 g,80,60
208,biscuit,HaveMore Jeera Bakery Cookies,200 g,80,60
209,biscuit,Grofers Happy Day Atta Bakery Cookies,200 g,99,75
210,juice,Real Fruit Power Mixed Fruit Juice - Pack of 2,2x1 l,210,184
211,juice,Real Fruit Power Litchi Juice - Pack of 2,2x1 l,210,182
212,juice,Patanjali Amla Juice,1 l,110,110
213,juice,Real Fruit Power Masala Sugarcane Juice - Pack of 2,2x1 l,210,160
214,juice,Real Activ 100% Apple Juice - Pack of 2,2x1 l,260,206
215,juice,B Natural Mixed Fruit Juice,1 l,105,79
216,juice,Real Masala Pomegranate Juice - Pack of 2,2 x 1 l,220,170
217,juice,Real Fruit Power Mixed Fruit Juice,1 l,105,92
218,juice,Real Fruit Power Cranberry Juice,1 l,110,110
219,juice,Real Fruit Power Orange Juice - Pack of 2,2x1 l,210,184
220,juice,Real Fruit Power Mango Juice,1 l,100,87
221,juice,B Natural Litchi Juice,1 l,105,79
222,juice,Real Masala Pomegranate Juice,1 l,110,85
223,juice,Real Fruit Power Pineapple Juice,1 l,100,100
224,juice,B Natural Apple Juice,1 l,105,79
225,juice,Real Activ 100% Orange Juice - Pack of 2,2x1 l,260,206
226,juice,Real Fruit Power Pomegranate Juice - Pack of 2,2x1 l,220,194
227,juice,B Natural Guava Juice,1 l,105,79
228,juice,Real Fruit Power Mango Juice - Pack of 2,2x1 l,200,174
229,juice,Real Fruit Power Litchi Juice,1 l,105,92
230,juice,Real Activ 100% Mixed Fruit Juice - Pack of 2,2x1 l,260,210
231,juice,Real Fruit Power Mixed Berries Juice,1 l,110,110
232,juice,Real Fruit Power Guava Juice,1 l,100,87
233,juice,Real Fruit Power Orange Juice,1 l,105,92
234,juice,Real Activ 100% Apple Juice,1 l,130,105
235,juice,Real Activ 100% Orange Juice,1 l,130,105
236,juice,Real Activ 100% Mixed Fruit Juice,1 l,130,105
237,juice,Real Fruit Power Pomegranate Juice,1 l,110,97
238,juice,B Natural Dakshin Pink Guava Juice,750 ml,110,110
239,juice,Tropicana Apple Delight Juice,1 l,100,100
240,juice,Tropicana Apple Delight Juice - Pack of 2,2x1 l,200,154
241,juice,Tropicana Litchi Delight Juice - Pack of 2,2x1 l,220,180
242,juice,Tropicana Apple Delight Juice (Bottle),1 l,100,100
243,juice,Tropicana Cranberry Delight Juice,1 l,110,110
244,juice,Tropicana Orange Delight Aseptic Juice - Pack of 2,2x1 l,220,169
245,juice,Tropicana Orange Delight Juice (Bottle),1 l,110,110
246,juice,Tropicana Apple Delight Juice - Pack of 2,2x1 l,200,154
247,juice,Tropicana Cranberry Delight Juice - Pack of 2,2x1 l,220,180
248,juice,B Natural 100% Pomegranate Juice,1 l,199,199
249,juice,Real Fruit Power Guava Juice - Pack of 2,2x1 l,200,174
250,juice,Real Fruit Power Masala Aam Panna Juice,1 l,99,99
251,juice,Real Alphonso Mango Nectar Juice - Pack of 2,2x1 l,240,185
252,juice,B Natural Mixed Fruit Juice - Buy 2 Get 1 Free,3x1 l,315,210
253,juice,Tropicana Guava Delight Juice (Bottle),1 l,100,100
