,Type,Name,Qty,MRP,Price
333,chocolates,Cadbury Dairy Milk Home Treats Chocolate,126 g,149,127
334,chocolates,KitKat Share Bag Chocolate,126 g,100,85
335,chocolates,KitKat Chocolate - Pack of 2,2x37 g,50,50
336,chocolates,Nestle Munch Nuts Share Bag Chocolate,264 g,150,128
337,chocolates,Cadbury Gems Chocolate - Pack of 6,6x21.36 g,60,60
338,chocolates,KitKat Dessert Delight Truffle Chocolate,50 g,50,50
339,chocolates,Cadbury Dairy Milk Chocolate - Pack of 2,2x50 g,80,80
340,chocolates,KitKat Dessert Delight Brownie Kubes Dark Chocolate Bar,50 g,60,60
341,chocolates,Hershey's Almond Chocolate Spread,300 g,275,262
342,chocolates,Cadbury Dairy Milk Spready Chocolate Spread,200 g,200,200
343,chocolates,Cadbury Bournvita Chocolate Health Drink (Refill),2x1 kg,710,660
344,chocolates,Grofers Happy Day Active Chocolate Health Drink,750 g,299,230
345,chocolates,Protinex Tasty Chocolate Flavour Acti Pro 5 Health Drink (Tin),400 g,550,550
346,chocolates,Protinex Tasty Chocolate Flavour Acti Pro 5 Health Drink,750 g,950,950
347,chocolates,Complan Royale Chocolate Nutrition and Health Drink (Carton),1 kg,530,450
348,chocolates,PediaSure Premium Chocolate Health Drink (Refill),1 kg,1240,1240
349,chocolates,Cadbury Bournvita Chocolate Health Drink (Jar),1 kg,410,410
350,chocolates,Cadbury 5 Star Chocolate - Pack of 4,4x40 g,80,80
351,chocolates,Horlicks Protein+Chocolate Health Drink (Jar),400 g,535,495
352,chocolates,Cadbury Dairy Milk Silk Home Treats Chocolate,162 g,200,200
353,chocolates,Cadbury 5 Star Home Treat Chocolate,200 g,149,149
354,chocolates,Cadbury Dairy Milk Roast Almond Chocolate - Pack of 2,2x36 g,90,84
355,chocolates,Cadbury Dairy Milk Silk Oreo Red Velvet Chocolate,130 g,170,157
356,chocolates,Cadbury Dairy Milk Silk Chocolate,150 g,160,141
357,chocolates,Cadbury Dairy Milk Silk Oreo Chocolate - Pack of 2,2x60 gm,160,160
358,chocolates,Hershey's Kisses Almonds Chocolate,100 g,140,126
359,chocolates,Snickers Duos Chocolate,2x40 g,100,80
360,chocolates,Cadbury Bournville Rich Cocoa 50% Dark Chocolate,80 g,100,100
361,chocolates,Grofers Happy Day Chocolate Cream Wafer,75 g,45,30
362,chocolates,Cadbury Dairy Milk Silk Fruit & Nut Chocolate,137 g,160,148
363,chocolates,Cadbury Bournvita Women Chocolate Health Drink (Jar),400 g,275,275
364,chocolates,Mars Bar Chocolate - Pack of 2,2x51 g,80,80
365,chocolates,Bounty Chocolate - Pack of 2,2x57 g,100,100
366,chocolates,PediaSure Premium Chocolate Health Drink (Jar),400 g,580,580
367,chocolates,Snickers Chocolate - Pack of 2,2x50 g,80,76
368,chocolates,Cadbury Dairy Milk Crackle Chocolate - Pack of 2,2x36 g,90,84
369,chocolates,Cadbury 5 Star Chocolate - Pack of 3,3x40 gm,60,60
370,chocolates,Cadbury Dairy Milk Fruit & Nut Chocolate - Pack of 2,2x36 g,90,84
371,chocolates,SimMom IQ+ Premium Chocolate Health Drink (Refill),400 g,460,460
372,chocolates,Cadbury Nutties Chocolate - Pack of 2,2x30 g,80,80
373,chocolates,KitKat Chocolate - Pack of 3,3x37 gm,75,75
374,chocolates,Horlicks Protein+Chocolate Health Drink (Jar) - Pack of 2,2x400 g,1070,950
375,chocolates,Hershey's Kisses Milk Chocolate,108 g,140,126
376,chocolates,Hershey's Kisses Cookies n Creme Chocolate,100.8 g,140,126
377,chocolates,"Horlicks Chocolate Delight, Health & Nutrition Drink",750 g,292,262
378,chocolates,Grofers Happy Day Crunchy Peanut Butter,340 g,159,128
379,chocolates,Fun Foods Creamy Peanut Butter,925 g,275,275
380,shampoo,Clinic Plus Strong & Long Health Shampoo,650 ml,288,260
381,shampoo,Jokuse T N F Green Tea with Pump Shampoo,500 ml,280,169
382,shampoo,Head & Shoulders Anti Hairfall Anti Dandruff Shampoo,650 ml,550,483
383,shampoo,Sunsilk Stunning Black Shine Shampoo,650 ml,310,279
384,shampoo,Sunsilk Lusciously Thick & Long Shampoo,650 ml,365,329
385,shampoo,Tresemme Hair Fall Defense Shampoo,185 ml,120,120
386,shampoo,Park Avenue Shiny & Bouncy Beer Shampoo,190 ml,155,117
387,shampoo,Tresemme Nourish & Replenish Shampoo,580 ml,465,372
388,shampoo,Head & Shoulders Active Protect 2-in-1 Shampoo & Conditioner,650 ml,690,656
389,shampoo,Head & Shoulders Smooth & Silky Anti Dandruff Shampoo,650 ml,550,523
390,shampoo,Himalaya Gentle Baby Shampoo,400 ml,300,266
391,shampoo,Tresemme Keratin Smooth Shampoo,580 ml,465,372
392,shampoo,Dove Hair Therapy Hair Fall Rescue Shampoo,650 ml,500,400
393,shampoo,Dabur Vatika Health Power of 7 Natural Ingredients Shampoo,640 ml,380,247
394,shampoo,Dove Intense Repair Shampoo,1 l,555,500
395,shampoo,Envie Conditioner Shampoo,250 ml,92,45
396,shampoo,Sunsilk Long & Healthy Growth with Biotin Shampoo,340 ml,180,153
397,shampoo,Johnson's No More Tears Baby Shampoo,475 ml,360,342
398,shampoo,Pantene Advanced Hair Fall Solution and Control Shampoo,650 ml,500,475
399,shampoo,Dove Hair Fall Rescue Shampoo,1 l,555,500
400,shampoo,Tresemme Hair Fall Defense Shampoo,580 ml,445,356
401,shampoo,Dove Hair Therapy Daily Shine Shampoo,650 ml,500,400
402,shampoo,Head & Shoulders Cool Menthol Anti Dandruff Shampoo,650 ml,550,523
403,shampoo,L'Oreal Paris Extraordinary Clay Shampoo,396 ml,282,282
404,shampoo,Johnson's Active Kids Shiny Drop with Argan Oil Shampoo,100 ml,100,100
405,shampoo,L'Oreal Paris Total Repair 5 Ceramide-Cement Repairing Shampoo,396 ml,265,265
406,shampoo,L'Oreal Paris 6 Oil Nourish Shampoo,360 ml,265,265
407,shampoo,"Herbal Essences Argan Oil for Repair, 400 ml| No Parabens, No Colourants Shampoo",400 ml,600,480
408,shampoo,Dove Advanced Hair Series Oxygen Moisture Shampoo,650 ml,530,424
409,shampoo,Dabur Intense Nourishment Almond Shampoo,650 ml,450,338
410,shampoo,"Herbal Essences White Strawberry & Sweet Mint for Volume, 400ml | No Parabens, No Colourants Shampoo",400 ml,600,480
411,shampoo,Sunsilk Nourishing Soft & Smooth Shampoo,650 ml,310,279
412,shampoo,Dove Advanced Hair Series Rejuvenated Volume Shampoo,240 ml,260,260
413,shampoo,Dove Hair Therapy Intense Repair Shampoo,650 ml,450,360
414,shampoo,Johnson's Active Kids Clean & Fresh Shampoo,100 ml,100,100
415,shampoo,Dabur Vatika Naturals Damage Therapy 10 Poshan Ayurvedic Shampoo,640 ml,400,300
416,shampoo,Himalaya Gentle Baby Shampoo + Baby Wash + Baby Powder Combo,400ml + 400ml + 400g,745,499
417,drinks,Tang Orange Instant Drink Mix,750 g,210,189
418,drinks,Cadbury Bournvita Chocolate Health Drink (Refill),2x1 kg,710,660
419,drinks,Grofers Happy Day Active Chocolate Health Drink,750 g,299,230
420,drinks,Protinex Tasty Chocolate Flavour Acti Pro 5 Health Drink (Tin),400 g,550,550
421,drinks,Protinex Tasty Chocolate Flavour Acti Pro 5 Health Drink,750 g,950,950
422,drinks,Complan Royale Chocolate Nutrition and Health Drink (Carton),1 kg,530,450
423,drinks,PediaSure Premium Chocolate Health Drink (Refill),1 kg,1240,1240
424,drinks,Cadbury Bournvita Chocolate Health Drink (Jar),1 kg,410,410
425,drinks,Coca-Cola Soft Drink (Bottle),600 ml,40,35
426,drinks,Thums Up Soft Drink (Bottle),600 ml,40,35
427,drinks,Limca Lime 'N' Lemon Soft Drink (Bottle),600 ml,40,35
